Date Event Began,Date of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW), Number of Customers Affected 
2/10/2008,2/12/2008,"Southwestern Pennsylvania, West Virginia, Virginia, Maryland",RFC,Severe Weather,412,"100,969"
2/10/2008,2/14/2008,Virginia and West Virginia Area of AEP,RFC,High Winds,N/A,"97,342"
2/10/2008,2/11/2008,"Greenboro, North Carolina and I-40 Corridor",SERC,High Winds,300,"50,718"
2/12/2008,2/15/2008,"Arkansas, Mississippi, Louisiana",SERC,Severe Weather,N/A,"54,000"
2/13/2008,2/14/2008,State of Maine,NPCC,Ice Storm,50,"50,462"
2/14/2008,2/14/2008,Utah,WECC,Load Shedding,"2,818","74,031"
2/15/2008,2/15/2008,"Antioch, California",WECC,Electrical System Separation,10,"10,008"
2/26/2008,2/26/2008,Primary Dade County Florida,FRCC,Transmission Equipment Failure,"3,200","584,384"
2/26/2008,2/26/2008,Southern Service Area/Alabama and Georgia,SERC,Thunderstorms,484,"145,380"
2/26/2008,2/26/2008,FRCC Region-West Coast Florida,FRCC,Shed Firm Load,120,"56,000"
2/26/2008,2/26/2008,Tampa Electric Service Territory,FRCC,Under Frequency/Load Shedding,318,"53,965"
2/26/2008,2/26/2008,Various Cities in Florida,FRCC,Under Frequency/Load Shedding,140,"47,661"
3/4/2008,3/4/2008,North and South Carolina,SERC,Thunderstorms,300,"55,267"
3/8/2008,3/10/2008,"Chester, Montgomery, Delaware, Philadelphia and Bucks County, Pennsylvania",RFC,Severe Weather,N/A,"168,449"
3/8/2008,3/8/2008,Virginia and Eastern Part of North Carolina,SERC,Windstorm,210,"141,130"
3/15/2008,3/16/2008,Parts of Alabama and Georgia,SERC,Major Storm,200,"157,744"
4/4/2008,4/4/2008,"Arkansas, North Louisiana, Mississippi",SERC,Severe Thunderstorms,N/A,"122,600"
4/9/2008,4/13/2008,"North, Central and East Texas",TRE,Severe Weather,N/A,"488,689"
5/11/2008,5/12/2008,Georgia,SERC,Severe Thunderstorms,100,"80,539"
5/11/2008,5/11/2008,"City of Crawfordsville, Indiana",RFC,Electric System Separation,47,"9,700"
5/12/2008,5/14/2008,"Cape May, Cumberland, Gloucester, Salem, Camden, Atlantic, Burliington  Counties, New Jersey",RFC,Severe Storm,55,"135,000"
5/27/2008,5/27/2008,South West Connecticut,NPCC,Lightning Storm,130,"56,400"
5/30/2008,5/30/2008,Northern and Western Counties of Illinois,RFC,Severe Storms,N/A,"109,000"
5/30/2008,6/4/2008,"Northeastern Marion County, Indiana",RFC,Severe Thunderstorms,N/A,"70,000"
6/3/2008,6/7/2008,"Maryland, West Virginia, Virginia",RFC,Severe Weather,634,"157,168"
6/4/2008,6/5/2008,Northern Virginia,SERC,Thunderstorms,850,"253,800"
6/4/2008,6/5/2008,"Montgomery, Prince Georges,  Maryland, Washington, D.C.",RFC,Lightning Storm,N/A,"249,408"
6/4/2008,6/7/2008,Entire BGE Service Territory,RFC,Severe Storms,N/A,"108,000"
6/6/2008,6/12/2008,Lower 2/3 of Michigan's Lower Peninsula,RFC,Lightning Storm,100,"358,000"
6/8/2008,6/16/2008,Southwestern Michigan (DECO Service Territory),RFC,Severe Storm,500,"150,000"
6/8/2008,6/9/2008,The Entire ComEd Territory,RFC,Severe Weather,N/A,"125,000"
6/9/2008,6/9/2008,"Area Around West Orange Switching Station, New Jersey",RFC,Fire/Breaker Failure,215,"75,654"
6/9/2008,6/9/2008,Entergy System,SERC,Indequate Electric Resources to Serve Load,300,19
6/10/2008,6/14/2008,"Bergen, Essex and Hudson Counties, New Jersey",RFC,Severe Storms,N/A,"248,800"
6/10/2008,6/14/2008,"Chester, Montgomery, Delaware, Philadelphia and Bucks County, Pennsylvania",RFC,Severe Thunderstorms,N/A,"198,000"
6/10/2008,6/13/2008,Upstate New York,NPCC,Severe Storm,400,"68,000"
6/10/2008,6/11/2008,All Six New England States,NPCC,Storm,50,"60,000"
6/10/2008,6/10/2008,Entergy System,SERC,Inadequate Electric Resources to Serve Load,300,19
6/11/2008,6/11/2008,New York State,NPCC,Uncontrolled Loss,200,"61,000"
6/12/2008,6/18/2008,East Central Iowa,RFC,Flooding and Uncontrolled Loss,200,"21,000"
6/15/2008,6/15/2008,The Entire ComEd Territory,RFC,Severe Weather,N/A,"165,000"
6/15/2008,6/15/2008,"City of Crawfordsville, Indiana",RFC,Electrical System Separation,57,"9,700"
6/16/2008,6/16/2008,Northern Virginia,SERC,Thunderstorms,900,"115,000"
6/17/2008,6/19/2008,"North, Central and East Texas",TRE,Severe Thunderstorms,N/A,"234,393"
6/17/2008,6/17/2008,"Texas Panhandle and Texas South Plains Regions, and Oklahoma Panhandle",TRE,Thunderstorms/Uncontrolled Loss of Load,276,"37,330"
6/17/2008,6/18/2008,Texas and New Mexico,SPP,Electrical System Separation/Severe Thunderstorms,560,"18,000"
6/21/2008,6/21/2008,"Near Rogers Flat, California",WECC,Electrical System Separation/Severe Lightning Storms,3,477
6/23/2008,6/23/2008,"Pinellas County, Florida",FRCC,Transmission Equipment Failure/Load Shedding,113,"32,593"
6/26/2008,6/26/2008,Southeastern Michigan (DTE Service Territory),RFC,Thunderstorms,N/A,"53,000"
6/27/2008,6/27/2008,"Omaha, Nebraska (Metro Area)",MRO,Severe Wind Storm,650,"126,000"
7/2/2008,7/6/2008,Lower 2/3 of Michigan's Lower Peninsula,RFC,Severe Weather,125,"239,663"
7/2/2008,7/2/2008,"Santa Barbara County, California, near Goleta",WECC,Wild Land Fire,208,"200,000"
7/2/2008,7/3/2008,Southeastern Michigan (DTE Service Territory),RFC,Thunderstorms,N/A,"56,000"
7/2/2008,7/3/2008,Goleta and Santa Barbara Areas of Southern California,WECC,Brush Fire/Lines Loss/Transmission Emergency Declared,119,"37,784"
7/21/2008,7/22/2008,"Sioux City, Carroll, Des Moines, Iowa City, and Davenport Iowa, Rock Island, Moline, and Surrounding Area of Illinois",MRO,Storm,170,"185,000"
7/22/2008,7/24/2008,Indiana,RFC,Severe Thunderstorms,N/A,"58,000"
7/22/2008,7/23/2008,Southwest Ohio,RFC,Severe Thunderstorms,N/A,"56,000"
7/23/2008,7/31/2008,"Port Isabel, Harlingen, Weslaco, Pharr, San Benito, Mission, McAllen, Edinburg, Texas",TRE,Hurricane Dolly,703,"211,266"
7/24/2008,7/24/2008,"Bangor Hydro System, northern Maine",NPCC,Electric System Separation/Severe Lightning Storms,180,"110,000"
8/2/2008,8/3/2008,Georgia and Alabama,SERC,Severe Thunderstorms,400,"131,115"
8/3/2008,8/3/2008,"Mississippi, Louisiana, Texas",SERC,Severe Thunderstorms,N/A,"59,500"
8/4/2008,8/6/2008,The ComEd Territory,RFC,Severe Weather,N/A,"653,000"
8/5/2008,8/5/2008,Northwest Indiana,RFC,Severe Storms,0,"63,000"
8/15/2008,8/15/2008,Part of Seattle's Downtown,WECC,Made Public Appeals,100,"8,000"
8/16/2008,8/16/2008,City of Lubbock,TRE,Lightning/Transmission Equipment Damage,153,"71,823"
8/19/2008,8/22/2008,Florida,FRCC,Tropical Storm Fay,N/A,"101,950"
8/24/2008,8/24/2008,Georgia and Alabama,SERC,Tropical Storm Fay,110,"87,390"
8/31/2008,9/3/2008,"Louisiana, Mississippi, Arkansas",SERC,Hurricane Gustav,N/A,"964,000"
9/1/2008,9/10/2008,"Bayou Division and North Lake Division, Louisiana",SERC,Hurricane Gustav,N/A,"246,092"
9/1/2008,9/13/2008,Primarily South and Central Louisiana,SERC,Hurricane Gustav,400,"150,000"
9/6/2008,9/6/2008,North East North Carolina and Virginia,SERC,Tropical Storm Hanna,220,"64,463"
9/6/2008,9/6/2008,Eastern North Carolina,SERC,Tropical Storm Hanna,N/A,"57,000"
9/12/2008,10/1/2008,Greater Houston Area-Eastern Region of ERCOT,TRE,Hurricane Ike,N/A,"2,504,366"
9/12/2008,10/1/2008,Greater Houston-Galveston Metro Area,TRE,Hurricane Ike,"8,087","2,142,678"
9/12/2008,9/14/2008,"Primarily Southeast Texas, Louisiana, and Arkansas",SERC,Hurricane Ike,N/A,"705,000"
9/12/2008,9/27/2008,Galveston and Brazoria Counties,TRE,Hurricane Ike,650,"113,247"
9/13/2008,9/15/2008,"North, Central and East Texas",TRE,Hurricane Ike,N/A,"238,392"
9/13/2008,9/16/2008,Texas and Louisana,SPP,Hurricane Ike,N/A,"184,501"
9/13/2008,9/27/2008,Southwest Louisiana,SERC,Hurricane Ike,40,"50,000"
9/14/2008,9/14/2008,"Ohio, Kentucky, Indiana",RFC,Tropical Depression Ike,N/A,"875,000"
9/14/2008,9/20/2008,"Northern Indiana, Central and Central Southern Ohio",RFC,Wind Storm,N/A,"650,000"
9/14/2008,9/22/2008,"Southern, Eastern, and Central Ohio",RFC,Wind Storm,469,"564,728"
9/14/2008,9/14/2008,State of Kentucky,RFC,Tropical Depression Ike,N/A,"375,000"
9/14/2008,9/22/2008,Northeast Ohio,RFC,Wind Storm,430,"245,164"
9/14/2008,9/19/2008,Western Pennsylvania,RFC,Wind Storm,72,"124,596"
9/14/2008,9/18/2008,Missouri and Illinois,MRO,Hurricane Ike,N/A,"107,000"
9/14/2008,9/14/2008,Allegheny and Beaver Counties in Pennsylvania,RFC,Tropical Depression Ike,600,"105,000"
9/14/2008,9/17/2008,Dayton Ohio Area,RFC,Hurricane Ike,"1,000","95,000"
9/14/2008,9/21/2008,"City of Owensboro, Kentucky",RFC,High Winds,70,"18,000"
9/15/2008,9/19/2008,Western Pennsylvania,RFC,Tropical Depression Ike,546,"160,875"
9/30/2008,9/30/2008,"Plumas County, California",WECC,Electrical System Separation,30,"10,000"
10/25/2008,10/27/2008,Connecticut,NPCC,Severe Storm,N/A,"52,000"
11/7/2008,11/7/2008,Southern California,WECC,Load Shedding,430,"400,000"
11/7/2008,11/7/2008,Goleta and Santa Barbara Areas of Southern California,WECC,Load Shedding,250,"140,000"
11/15/2008,11/15/2008,City of Los Angeles,WECC,Brush Fire/Shed Firm Load,211,"115,500"
12/2/2008,12/2/2008,"St. Louis, Missouri",RFC,Fire/Load Shedding,135,"53,000"
12/9/2008,12/10/2008,Central New Jersey,RFC,Lines Loss/Transmission,438,"156,729"
12/10/2008,12/10/2008,Southern Oregon,WECC,Equipment Failure/Made Public Appeal,32,3
12/11/2008,12/13/2008,"Southern Louisiana, Southern and Central Mississippi",SERC,Snow Storm,N/A,"91,300"
12/11/2008,12/15/2008,Northern Dutchess County and Western Ulster County in the Mid-Hudson Region of New York State,NPCC,Ice Storm,N/A,"60,000"
12/12/2008,12/22/2008,New England,NPCC,Ice Storm,N/A,"970,000"
12/12/2008,12/19/2008,Eastern New York,NPCC,Ice Storm,200,"190,000"
12/12/2008,12/14/2008,Southern and Central Maine,NPCC,Ice Storm,N/A,"169,757"
12/19/2008,12/22/2008,"Indiana, Michigan and Northwest Ohio",RFC,Ice Storm,N/A,"140,000"
12/19/2008,12/20/2008,Northwest Indiana,RFC,Ice Storm,N/A,"50,000"
12/19/2008,12/19/2008,"East of Oroville, California",WECC,Electrical System Separation,1,638
12/26/2008,12/26/2008,"Orangevale Area of Sacramento, California",WECC,Load Shedding,110,"50,000"
12/27/2008,1/1/2008,Southeastern Michigan,RFC,Wind Storm,N/A,"247,847"
12/28/2008,12/28/2008,Michigan Lower Peninsula,RFC,Wind Storm,N/A,"230,000"
12/28/2008,12/31/2008,Michigan Lower Peninsula,RFC,Wind Storm,N/A,"210,517"
12/30/2008,12/30/2008,"Crawfordsville, Indiana",RFC,Shed Firm Load,41,"9,700"
1/5/2009,1/6/2009,North and Central Texas,TRE,Severe Storm,N/A,"157,019"
1/7/2009,1/7/2009,Piedmont of North and South Carolina,SERC,High Winds,300,"70,000"
1/8/2009,1/9/2009,Florida Keys,FRCC,Transmission Equipment Failure,55,"31,000"
1/22/2009,1/22/2009,"Crawfordsville, Indiana",RFC,Shed Load,50,"9,700"
1/27/2009,1/29/2009,State of Kentucky,RFC,Ice Storm,N/A,"383,000"
1/27/2009,1/29/2009,Northern Arkansas,SERC,Ice Storm,600,"215,700"
1/27/2009,1/31/2009,Central and Eastern Kentrucky,SERC,Ice Storm,600,"190,000"
1/27/2009,2/3/2009,Northern Arkansas,SERC,Ice Storm,N/A,"111,818"
1/27/2009,1/30/2009,South Central and Southeast Missouri,SERC,Winter Storm,200,"62,500"
1/27/2009,1/29/2009,CSWS-AEP West,RFC,Ice/Snow Storm,N/A,"59,402"
1/27/2009,2/4/2009,Western Kentucky and Southern Indiana,SERC,Ice Storm,350,3
1/27/2009,1/27/2009,TVA Service Territory,SERC,Ice Storm,850,1
1/28/2009,2/13/2009,"Illinois, Indiana, Ohio and Kentucky",RFC,Winter Storm,N/A,"230,300"
1/28/2009,2/5/2009,Northeast Tennessee and Southwest Kentucky,SERC,Ice Storm,N/A,"109,527"
1/28/2009,2/5/2009,"Indiana, Evansville, Metro Area",RFC,Ice Storm,506,"75,000"
1/28/2009,2/13/2009,Southern Indiana,RFC,Ice/Snow Storm,N/A,"53,700"
1/28/2009,1/30/2009,Northern Kentucky and Southwest Ohio,RFC,Ice/Snow Storm,N/A,"53,600"
1/28/2009,2/7/2009,Kentucky,RFC,Ice Storm,21,"3,500"
1/28/2009,1/30/2009,East Central Missouri,RFC,Winter Storm,300,1
2/11/2009,2/16/2009,"Maryland, Virginia, West Virginia and Pennsylvania",RFC,Severe Thunderstorms,N/A,"374,644"
2/11/2009,2/13/2009,"Kentucky, West Virginia and Ohio",RFC,Severe Thunderstorms,N/A,"279,813"
2/11/2009,2/12/2009,State of Kentucky,RFC,Severe Thunderstorms,N/A,"78,000"
2/11/2009,2/11/2009,"Houston, Texas",TRE,High Winds,350,"64,801"
2/11/2009,2/12/2009,Northern Kentucky and Southwest Ohio,RFC,Severe Thunderstorms,350,"63,000"
2/12/2009,2/12/2009,Central and Eastern Ohio,RFC,High Winds,168,"184,000"
2/12/2009,2/15/2009,Western and North Eastern Pennsylvania,RFC,High Winds,130,"132,000"
2/13/2009,2/15/2009,Central and Eastern Ohio,RFC,High Winds,168,"184,000"
2/23/2009,2/24/2009,Southern Central and Western Maine,NPCC,Ice/Snow Storm,N/A,"131,000"
3/1/2009,3/3/2009,Central Virginia - Spotsylvania County,SERC,Winter Storm,210,"217,000"
3/1/2009,3/3/2009,Duke Energy Carolinas Balance Authority,SERC,Ice/Snow Storm,"1,000","180,000"
3/1/2009,3/1/2009,"City of El Paso, Texas, County of El Paso",WECC,Transmission Equipment Failure,250,"132,000"
3/1/2009,3/1/2009,Southern Balancing Area,SERC,Severe Weather,75,"60,000"
4/6/2009,4/8/2009,"Michigan, Lower Peninsula",RFC,Winter Storm,75,"70,793"
4/10/2009,4/11/2009,Alabama and Georgia,SERC,Severe Thunderstorms,162,"56,679"
4/23/2009,4/24/2009,"Skagit County, Washington",WECC,Transmission Tripped,244,"93,300"
4/24/2009,4/24/2009,"Ruston, Louisiana",SERC,Complete Electric System Failure,32,"11,000"
4/25/2009,4/29/2009,Western Region of Service Territory,RFC,High Winds/Rain,N/A,"125,000"
4/27/2009,4/28/2009,Greater Houston/Galveston Area,TRE,High Winds,176,"158,000"
5/8/2009,5/8/2009,SW Missouri,SERC,Severe Thunderstorm,266,"83,000"
5/8/2009,5/14/2009,Southern Illinois,SERC,Severe Thunderstorm,300,"68,800"
5/29/2009,5/29/2009,"Henderson County, Kentucky",SERC,Transmission Equipment Failure,342,1
6/5/2009,6/5/2009,East of Fresno California,WECC,Electrical System Separation,1,70
6/9/2009,6/11/2009,Central Maryland,RFC,Severe Thunderstorms,60,"85,091"
6/10/2009,6/14/2009,North and Central Texas,TRE,Severe Storms,N/A,"800,000"
6/12/2009,6/12/2009,"Chattanooga, Tennessee",SERC,Severe Storm,860,"136,000"
6/12/2009,6/13/2009,Georgia,SERC,Severe Thunderstorm,290,"102,000"
6/12/2009,6/15/2009,"Arkansas, North Mississippi",SERC,Severe Thunderstorms,N/A,"81,645"
6/19/2009,6/19/2009,The Entire ComEd Service Territory,SERC,Severe Storm,N/A,"245,000"
6/19/2009,6/21/2009,Michigan Lower Peninsula,RFC,Severe Storm,75,"99,000"
6/25/2009,6/28/2009,Western Region of Service Territory,RFC,High Winds/Rain,N/A,"118,000"
6/26/2009,6/27/2009,"Southwest Ohio, Northern Kentudky, Central and Southern Indiana",RFC,Severe Thunderstorms,327,"85,000"
6/26/2009,6/29/2009,Central Connecticut,NPCC,Severe Thunderstorms,N/A,"50,752"
7/18/2009,7/19/2009,Houston/Galveston Area,TRE,Thunderstorms,51,"73,000"
7/20/2009,7/22/2009,"Metro Denver (Jefferson, Adams, and Arapahoe Counties)",WECC,Severe Thunderstorm,150,"86,058"
7/21/2009,7/21/2009,"San Francisco Bay Area, California",WECC,Unit Tripped,136,1
8/2/2009,8/3/2009,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsyvania",RFC,Highwinds,N/A,"70,264"
8/4/2009,8/8/2009,"Northern Kentucky, Southwest Ohio and Central and South Indiana",RFC,Thunderstorms,50,"63,700"
8/7/2009,8/11/2009,Western Region of Service Territory,RFC,High Winds and Rain,N/A,"137,000"
8/9/2009,8/10/2009,"Michigan, Lower Peninsula",RFC,Severe Thunderstorms,N/A,"58,156"
8/12/2009,8/12/2009,South Houston Service Area,TRE,Thunderstorms,491,"73,000"
8/21/2009,8/22/2009,Houston Metropolitan Service Area,TRE,Thunderstorms,544,"80,000"
8/29/2009,8/29/2009,Western South Dakota,MRO,Electrical System Separation,373,18
10/7/2009,10/9/2009,Southeast Michigan,RFC,Severe Storms,N/A,"75,000"
10/9/2009,10/11/2009,Arkansas and North Louisiana,SERC,Winter Storm,N/A,"56,000"
10/13/2009,10/13/2009,Northern California,WECC,High Winds and Rain,350,"859,554"
10/13/2009,10/13/2009,Sacramento County,WECC,High Winds,90,"94,000"
10/13/2009,10/13/2009,Southeastern Wyoming,WECC,Ice,101,"35,500"
11/12/2009,11/14/2009,"Southeastern Virginia, Northeastern North Carolina",SERC,Tropical Storm Ida,400,"335,000"
12/8/2009,12/10/2009,Arizona,WECC,Severe Weather,N/A,"140,000"
12/9/2009,12/10/2009,Ohio,RFC,Severe Weather,N/A,"48,102"
12/10/2009,12/12/2009,Michigan,RFC,Severe Weather,N/A,"65,562"
12/18/2009,12/25/2009,"West Virginia, Kentucky, Ohio",RFC,Severe Weather,N/A,"403,913"
12/18/2009,12/19/2009,Western North Carolina,SERC,Severe Weather,N/A,"47,000"
1/18/2010,1/28/2010,Northern and Central California,WECC,Severe Storm,290,"1,700,000"
1/19/2010,1/20/2010,San Diego and Orange Counties,WECC,Severe Storm,"2,650","50,000"
1/19/2010,1/19/2010,San Francisco,WECC,Severe Storm,300,"30,000"
1/20/2010,1/24/2010,"City of Los Angeles, California",WECC,Severe Storm,N/A,"147,223"
1/28/2010,2/2/2010,Oklahoma,SPP,Ice Storm,N/A,"68,705"
2/5/2010,2/13/2010,Southern NJ,RFC,Winter Storm,N/A,"221,000"
2/5/2010,2/7/2010,"Indiana, Ohio, W. Virginia and Virginia",RFC,Winter Storm,N/A,"102,225"
2/5/2010,2/12/2010,"District of Columbia, Prince Georges and Montgomery Co. MD",RFC,Winter Storm,N/A,"97,651"
2/5/2010,2/7/2010,North and South Carolina,SERC,Winter Storm,500,"74,000"
2/5/2010,2/12/2010,Southwestern Pennsylvania,RFC,Winter Storm,N/A,"57,000"
2/6/2010,2/7/2010,"Virginia, North Carolina",SERC,Winter Storm,600,"104,736"
2/6/2010,2/6/2010,Delmarva Peninsula,RFC,Winter Storm,N/A,"58,491"
2/9/2010,2/14/2010,Southeastern Pennsylvania,RFC,Winter Storm,N/A,"223,000"
2/11/2010,2/15/2010,Dallas/Fort Worth and East Texas,TRE,Winter Storm,N/A,"500,000"
2/12/2010,2/12/2010,"East Texas, Western Arkansas, Northern Lousiania",SPP,Winter Storm,N/A,"52,999"
2/14/2010,2/14/2010,Western Pennsylvania nd Northeast Central WV,RFC,Winter Storm,900,"190,000"
2/23/2010,2/25/2010,Upstate New York,NPCC,Winter Storm,N/A,"150,000"
2/25/2010,3/1/2010,Southern Maine and New Hampshire,NPCC,Winter Storm,510,"509,606"
2/25/2010,2/26/2010,"Southeastern New York, Northern New Jersey",,Winter Storm,N/A,"65,000"
2/25/2010,3/2/2010,New York City,NPCC,Winter Storm,N/A,"55,000"
3/13/2010,3/20/2010,"Southern, Central and Northern New Jersey",RFC,High Winds and Rain,100,"360,000"
3/13/2010,3/16/2010,Central New Jersey and Northern New Jersey,RFC,High Winds and Flooding,N/A,"180,000"
3/13/2010,3/16/2010,Southeasten Pennsylvania,RFC,High Winds and rain,N/A,"177,528"
3/13/2010,3/20/2010,New York City and Westchester County,NPCC,High Winds and Rain,N/A,"173,000"
3/13/2010,3/17/2010,Long Island,NPCC,High Winds and Rain,N/A,"153,000"
3/13/2010,3/15/2010,Connecticut,NPCC,High Winds and Rain,50,"50,246"
3/31/2010,4/1/2010,San Diego and Orange Counties,WECC,Shed Firm Load,324,"290,000"
4/16/2010,4/18/2010,Southwestern Pennsylvania,RFC,Severe Thunderstorms,15,"120,000"
4/27/2010,4/27/2010,"Rocky Mount, NC",SERC,Transmission System Interruption,N/A,"29,376"
5/2/2010,5/9/2010,Tennessee and Mississippi,SERC,Thunderstorms,N/A,"50,500"
6/1/2010,6/18/2010,Southwestern Indiana,RFC,Firm Load Shed,500,1
6/2/2010,6/4/2010,"San Antonio, TX",TRE,Severe Weather,N/A,"126,000"
6/6/2010,6/6/2010,Northern California,WECC,Electric System Separation,3,"2,650"
6/7/2010,6/8/2010,Denver Metropolitan Area,WECC,Firm Load Shed,300,"31,000"
6/8/2010,6/8/2010,Southeastern Texas,TRE,Thunderstorms,N/A,"79,741"
6/9/2010,6/9/2010,"Edenton, NC",SERC,Transmission System Interruption,N/A,"4,196"
6/18/2010,6/20/2010,"Chicago, IL",RFC,Severe Weather,N/A,"400,000"
6/18/2010,6/22/2010,"Detroit, MI",RFC,Severe Weather,N/A,"150,000"
6/18/2010,6/19/2010,Southern Portion of Lower Michigan,RFC,Thunderstorms,N/A,"100,000"
6/18/2010,6/20/2010,Northwest Indiana,RFC,Thunderstorms,N/A,"94,345"
6/18/2010,6/21/2010,"Indiana, Michigan",RFC,Severe Weather,N/A,"79,000"
6/21/2010,6/22/2010,"Cincinnati, OH",RFC,Thunderstorms,400,"50,636"
6/22/2010,6/22/2010,West/Central Arkansas,SERC,Made Public Appeal/Transmission Equipment Failure,84,"25,159"
6/23/2010,6/25/2010,"Chicago, IL",RFC,Severe Weather,N/A,"300,000"
6/23/2010,6/24/2010,Northwest Indiana,RFC,Thunderstorms,N/A,"53,000"
6/24/2010,6/29/2010,Southeastern Pennsylvania,RFC,Thunderstorms,N/A,"355,000"
6/24/2010,6/29/2010,Southwestern New Jersey,RFC,Thunderstorms,N/A,"150,000"
7/6/2010,7/6/2010,"Newark, DE",RFC,Transformer Outage,95,"18,400"
7/7/2010,7/7/2010,"York, South Central Pennsylvania",RFC,Loss of Transmission Equipment,N/A,"43,903"
7/15/2010,7/19/2010,Southeastern Michigan,RFC,Severe Weather,540,"127,534"
7/17/2010,7/19/2010,Minnesota,MRO,"Strong Winds, Tornadoes",N/A,"63,000"
7/21/2010,7/21/2010,Connecticut,NPCC,Thunderstorms,N/A,"50,100"
7/23/2010,7/26/2010,Southeastern Michigan,RFC,Severe Weather,400,"82,000"
7/25/2010,7/30/2010,"Washington, DC Region",RFC,Severe Weather,N/A,"297,700"
7/25/2010,7/27/2010,Central Maryland,RFC,Severe Weather,480,"124,000"
7/25/2010,7/25/2010,Northern Virginia,SERC,Severe Weather,900-1000,"81,000"
7/29/2010,7/29/2010,Virginia,SERC,Thunderstorms,N/A,"55,000"
8/4/2010,8/6/2010,"Ohio, West Virginia, Kentucky",RFC,Severe Weather,N/A,"37,000"
8/4/2010,8/7/2010,"Western Pennsylvania, Northwestern and Central West Virginia",RFC,Thunderstorms,60,"11,186"
8/5/2010,8/8/2010,Northern Virginia,RFC,Thunderstorms,N/A,"145,157"
8/5/2010,8/5/2010,"District of Columbia, Maryland",RFC,Thunderstorms,N/A,"76,729"
8/11/2010,8/11/2010,Ohio,RFC,Severe Weather,N/A,"57,000"
8/12/2010,8/12/2010,"District of Columbia, Maryland",RFC,Severe Weather,N/A,"101,003"
8/12/2010,8/12/2010,"City of Oshkosh, Wisconsin",MRO,Made Public Appeals,30,"7,600"
8/19/2010,8/23/2010,Southeastern Michigan,RFC,Severe Weather,340,"80,000"
8/23/2010,8/24/2010,"Houston, Texas",TRE,Severe Weather,746,"81,586"
9/1/2010,9/1/2010,"Pittsburg (Bay Area), California",WECC,Electrical System Separation (Islanding),31,"15,000"
9/7/2010,9/8/2010,"San Antonio, Texas",TRE,Tropical Storm,N/A,"340,350"
9/21/2010,9/22/2010,Central and Southern Michigan,RFC,Thunderstorms,N/A,"138,000"
9/22/2010,9/24/2010,Western Pennsylvania,RFC,Thunderstorms,389,"82,861"
9/22/2010,9/26/2010,"City of Pittsburgh, Pennsylvania",RFC,Thunderstorms,156,"52,000"
10/5/2010,10/7/2010,"City of Los Angeles, California",WECC,Rain and High Winds,N/A,"73,514"
10/26/2010,10/28/2010,Northern Illinois,RFC,Thunderstorms,N/A,"192,106"
10/26/2010,10/28/2010,Minnesota,MRO,High Winds,N/A,"70,000"
10/27/2010,10/29/2010,Michigan's Northerly Lower Peninsula,RFC,High Winds,240,"285,000"
10/27/2010,10/29/2010,Northern Illinois,RFC,High Winds,N/A,"127,000"
10/27/2010,10/27/2010,Northeast and North Central Wisconsin,MRO,High Winds,N/A,"63,000"
10/27/2010,10/27/2010,Northern California,WECC,Electrical System Separation-Islanding,16,"2,674"
